iter	Passed	Remaining
0	141	141103
1	142	71046
2	143	47678
3	144	36035
4	145	28938
5	146	24208
6	146	20825
7	147	18292
8	148	16319
9	148	14744
10	149	13451
11	150	12385
12	151	11478
13	151	10696
14	152	10020
15	153	9429
16	154	8906
17	154	8442
18	155	8025
19	156	7650
20	156	7310
21	157	7001
22	158	6719
23	158	6460
24	159	6223
25	160	6004
26	160	5800
27	161	5612
28	162	5436
29	163	5272
30	163	5119
31	164	4974
32	165	4841
33	165	4714
34	166	4594
35	167	4480
36	167	4371
37	168	4269
38	169	4172
39	170	4080
40	170	3993
41	171	3910
42	172	3830
43	172	3755
44	173	3682
45	174	3612
46	174	3545
47	175	3481
48	176	3421
49	176	3362
50	177	3306
51	178	3251
52	179	3198
53	179	3147
54	180	3099
55	181	3052
56	181	3008
57	182	2964
58	183	2922
59	183	2882
60	184	2843
61	185	2805
62	186	2768
63	186	2732
64	187	2697
65	188	2663
66	188	2630
67	189	2598
68	190	2567
69	190	2536
70	191	2507
71	192	2479
72	193	2451
73	193	2424
74	194	2397
75	195	2372
76	195	2347
77	196	2322
78	197	2298
79	197	2275
80	198	2252
81	199	2230
82	199	2205
83	200	2184
84	201	2163
85	201	2143
86	202	2124
87	203	2104
88	203	2086
89	204	2067
90	205	2049
91	205	2032
92	206	2014
93	207	1997
94	207	1980
95	208	1964
96	209	1948
97	210	1933
98	210	1917
99	211	1902
100	212	1887
101	212	1873
102	213	1859
103	214	1845
104	214	1831
105	215	1817
106	216	1804
107	216	1791
108	217	1779
109	218	1766
110	219	1754
111	219	1742
112	220	1730
113	221	1718
114	221	1707
115	222	1696
116	223	1684
117	223	1672
118	224	1661
119	225	1650
120	225	1639
121	226	1628
122	226	1618
123	227	1607
124	228	1597
125	228	1587
126	229	1577
127	230	1567
128	230	1558
129	231	1548
130	231	1538
131	232	1529
132	233	1520
133	233	1511
134	234	1502
135	235	1494
136	235	1485
137	236	1477
138	237	1468
139	237	1460
140	238	1452
141	238	1443
142	239	1435
143	240	1427
144	240	1419
145	241	1412
146	242	1404
147	242	1397
148	243	1390
149	244	1383
150	244	1375
151	245	1368
152	246	1361
153	246	1354
154	247	1347
155	247	1341
156	248	1334
157	249	1328
158	249	1321
159	250	1315
160	251	1308
161	251	1302
162	252	1296
163	253	1290
164	253	1283
165	254	1278
166	255	1272
167	255	1266
168	256	1260
169	256	1254
170	257	1248
171	258	1242
172	258	1237
173	259	1231
174	260	1226
175	260	1220
176	261	1215
177	262	1210
178	262	1204
179	263	1199
180	263	1194
181	264	1189
182	265	1184
183	265	1179
184	266	1174
185	267	1169
186	267	1164
187	268	1159
188	269	1155
189	269	1150
190	270	1145
191	271	1140
192	271	1136
193	272	1131
194	273	1127
195	273	1122
196	274	1117
197	274	1113
198	275	1109
199	276	1104
200	276	1100
201	277	1096
202	278	1091
203	278	1087
204	279	1083
205	280	1079
206	280	1075
207	281	1071
208	281	1066
209	282	1062
210	283	1058
211	283	1054
212	284	1050
213	285	1046
214	285	1043
215	286	1039
216	286	1035
217	287	1031
218	288	1027
219	288	1023
220	289	1020
221	290	1016
222	290	1012
223	291	1009
224	291	1005
225	292	1002
226	293	998
227	293	995
228	294	991
229	295	988
230	295	984
231	296	981
232	297	977
233	297	974
234	298	971
235	298	967
236	299	964
237	300	961
238	300	957
239	301	954
240	302	951
241	302	947
242	303	944
243	303	941
244	304	938
245	305	935
246	305	932
247	306	929
248	307	926
249	307	923
250	308	919
251	308	916
